rnd-dcad1bbb-cd4c-4927-929d-94f6a929f061,SIM-00002,PHONE-00009,27/04/2015 13:35:11,17561,cell F,2,REASON 2
rnd-588ff3de-84b6-4903-a1de-e1cd2faca9a8,SIM-00010,PHONE-00004,27/04/2015 13:35:12,17361,cell A,1,REASON 8
rnd-ef5af2cd-51fa-46dd-80b4-c7c089ca67d3,SIM-00008,PHONE-00004,27/04/2015 13:35:13,7061,cell G,2,REASON 9
rnd-169de378-87b4-4c54-9315-7c1991bb1651,SIM-00006,PHONE-00010,27/04/2015 13:35:14,18361,cell A,1,REASON 4
rnd-683c335a-b2b8-4b35-8758-2bff7f1f31ad,SIM-00002,PHONE-00001,27/04/2015 13:35:16,15361,cell E,1,REASON 10
rnd-5611dbdf-6392-4307-83d8-a3c2ff644db8,SIM-00004,PHONE-00009,27/04/2015 13:35:17,8861,cell A,1,REASON 6
rnd-60e88bf8-931c-41dc-b2e6-d23e682cbc7f,SIM-00005,PHONE-00002,27/04/2015 13:35:18,3761,cell A,2,REASON 2
rnd-4530254e-ee59-43c1-b966-e5ff3b5fdb14,SIM-00002,PHONE-00009,27/04/2015 13:35:19,22061,cell B,1,REASON 5
rnd-e6cf2aa7-e898-4166-a07f-8a33c67af87b,SIM-00009,PHONE-00008,27/04/2015 13:35:20,6461,cell H,1,REASON 9
rnd-7a0b8fc2-561a-46a9-92b8-2954fd27a748,SIM-00009,PHONE-00008,27/04/2015 13:35:22,24161,cell H,2,REASON 2
rnd-4ac10fb5-e8cd-4f48-8b1f-9731761a8afe,SIM-00008,PHONE-00004,27/04/2015 13:35:23,1661,cell A,1,REASON 5
rnd-d1e6ea89-a7e6-44c6-88f0-e7d6f98edc55,SIM-00001,PHONE-00010,27/04/2015 13:35:24,16161,cell F,1,REASON 10
rnd-484aa617-1605-4202-8513-762695da5f14,SIM-00008,PHONE-00005,27/04/2015 13:35:25,23661,cell J,1,REASON 4
rnd-8c81b5b9-301f-41bf-907a-48a643e84e79,SIM-00001,PHONE-00008,27/04/2015 13:35:26,8561,cell D,1,REASON 7
rnd-d4a67a86-f29d-44da-9169-c46fe67bda72,SIM-00007,PHONE-00005,27/04/2015 13:35:28,2061,cell D,1,REASON 4
